OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
73,-139.775,67.84027778,3,26570,16716,"Old Crow Basin Locality CRH-70, Johnson Creek [MiVi-3]",,,286.8151855,36550,38050,-34600,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"925, 924, 932",,73,"Beaudoin, A.B. 1987. Alberta radiocarbon dates 1982-1986. Pages 197-213 in M. Magne, editor. Archaeology in Alberta, 1986. Archaeological Survey of Alberta, Occasional Paper 31. Alberta Culture and Multiculturalism Historical Resources Division, Edmonton, Alberta."
74,-139.6875,67.90916667,3,36794,21461,Old Crow Basin Locality HH69-21,,,286.8151855,40800,43200,-38850,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"925, 926, 930, 932",,74,"Beaudoin, A.B. 1988. Alberta radiocarbon dates 1986-1987. Pages 159-167 in M. Magne, editor. Archaeology in Alberta, 1987. Archaeological Survey of Alberta, Occasional Paper 32. Alberta Culture and Multiculturalism, Edmonton, Alberta."
75,-139.675,67.91944444,3,36798,21463,Old Crow Basin Locality REM78-1,,,286.8151855,34450,37500,-32500,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"930, 932",,75,"Beaudoin, A.B. 1991. Alberta radiocarbon dates 1988-1989. Pages 239-253 in M. Magne, editor. Archaeology in Alberta 1988 and 1989. Archaeological Survey of Alberta Occasional Paper 33. Alberta Culture and Multiculturalism Historical Resources Division, Edmonton, Alberta."
76,-139.5708333,68.02944444,3,25906,16556,Old Crow Basin Locailty CRH-20 [NaVk-6],,,289.4447632,11800,2580000,-9850,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"923, 135, 932",,76,"Beaudoin, A.B. 1998. Bison, birds, and bulrushes: early Holocene macroremains at the Fletcher site (DjOw-1), Alberta and implications for Plains landscape and climate. Geological Society of America Abstracts with Programs 30(7):A-168."
77,-139.5244444,69.35722222,3,40846,23610,Engigstciak [NiVk-1],,,130.2549438,820,10050,1130,NA,NA,,Canada,Yukon,.,0,3,Bison sp,,"201, 1314, 800, 804, 1051, 482, 803",,77,"Beaudoin, A.B., M. Wright, and B. Ronaghan. 1996. Late Quaternary landscape history and archaeology in the ""ice-free corridor"": some recent results from Alberta. Quaternary International 32:113-126."
78,-139.524444,69.357222,2,,,Engigstciak [NiVk-1],NA,"""Buffalo Pit""",130.2549438,10989,11349,-9039,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,78,"Bell, R.E. 1984, editor. Prehistory of Oklahoma. Academic Press, New York, New York."
79,-139.524444,69.357222,2,,,Engigstciak [NiVk-1],NA,"""Buffalo Pit""",130.2549438,10444,10904,-8494,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,79,"Belyea, B. 1994. Columbia Journals: David Thompson. McGill-Queen’s University Press, Montreal, Quebec."
80,-139.423,64.05,3,,,Dawson City,NA,NA,571.7025146,15440,15560,-13490,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,80,"Belyea, B. 2000. A Year Inland: The Journal of a Hudson's Bay Company Winterer. Wilfrid Laurier University Press, Waterloo, Ontario."
81,-139.1,63.783333,2,,,Dawson Locality 6 [Schmidt's Claim] [KkVj-VP-6],NA,"muck, washed out by placer mining",622.1940918,1156,1346,794,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,81,"Bement, L. 1993. The Cooper site: a Folsom-age bison kill in northwestern Oklahoma. Oklahoma Archeological Society Newsletter 13(1):3-4."
82,-139.1,63.78333333,3,40414,23426,Dawson Locality 7 [Sailer's Claim] [KkVj-VP-7],,,622.1940918,28450,32150,-26500,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,471,,82,"Bement, L. 1999 Bison Hunting at Cooper Site: Where Lightning Bolts Drew Thundering Herds. University of Oklahoma Press, Norman, Oklahoma."
83,-139.1,63.78333333,3,40412,23425,Dawson Locality 6 [Schmidt's Claim] [KkVj-VP-6],,,622.1940918,1255,1445,695,NA,NA,,Canada,Yukon,.,0,1,Bison bison athabascae,,474,,83,"Bement, L. C., and B.J. Carter. 2010. Jake Bluff: Clovis bison hunting on the southern Plains of North America. American Antiquity 75(4):907-933."
84,-139.0833333,64,3,40307,23398,Dawson Locality 10 [Hunker Creek (80 Pup)] [LaVj-VP-10],,,529.9714966,12100,42050,-10150,NA,NA,,Canada,Yukon,.,0,1,Bison alaskensis,,476,,84,"Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1965. University of Wisconsin radiocarbon dates I. Radiocarbon 7:399-407. "
85,-138.9833333,63.96666667,3,40311,23400,Dawson Locality 12 [Norback and Fraser Claim] [KlVi-VP-12],,,529.9714966,105,34830,1845,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,1429,,85,"Bender, M.M., R.A. Bryson, and D.A. Baerreis. 1967. University of Wisconsin radiocarbon dates III. Radiocarbon 9:530-544."
86,-138.916667,69.566667,2,,,Simpson Point [NjVi-?],NA,surface,-21.54267693,53,54,1897,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,86,"Benham, D.J. 1907. The Round Up of the Second Herd of Pablo's Buffalo. Edmonton Bulletin, Edmonton, Alberta."
87,-138.9166667,69.58333333,3,40932,23658,Herschel Island,,,-21.54267693,16050,16350,-14100,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,476,,87,"Benn, D.W. 1980. Hadfields Cave: a perspective on Late Woodland culture in northeastern Iowa. Office of the State Archaeologist Report 13, University of Iowa, Iowa City, Iowa."
88,-138.8833333,63.915,3,40313,23401,Dawson locality 16 [Hunker Creek] [KlVi-1],,,813.2258301,1380,42050,570,NA,NA,,Canada,Yukon,.,0,1,Bison sp,,"477, 471, 472, 474, 481, 841",,88,"Benn, D.W. 1981. Archaeology of the M. A. D. sites at Denison, Iowa. Preliminary draft prepared for the Iowa State Historical Deptartment, Des Moines. Manuscript on file, University of Iowa Office of the State Archaeologist. Iowa City, Iowa."
89,-138.883333,63.915,2,,,Dawson locality 16 [Hunker Creek] [KlVi-1],NA,"placer deposits at J. Erickson's claim, provenience undocumented",813.2258301,1279,1449,671,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,89,"Benn, D.W. 1984. Excavations at the Christenson Oneota site (13PK407), central Des Moines River valley, Iowa. Manuscript on file, Center for Archaeological Research, Southwest Missouri State University. Springfield, Missouri."
90,-138.6833333,63.71805556,3,40410,23424,Dawson Locality 32 [Schink and Lamontagne Claim] [KkVi-VP-32],,,734.1419678,20800,39900,-18850,NA,NA,,Canada,Yukon,.,0,2,Bison alaskensis,,"471, 472, 479",,90,"Benn, D.W. 1990. Woodland culture on the western prairies, the Rainbow site investigation. Office of the State Archaeologist Report 10, University of Iowa, Iowa City, Iowa."
91,-138.6833333,63.8,3,40511,23456,Dominion Creek,,,780.2228394,14610,15130,-12660,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,470,,91,"Bense, J.A. 1972. Cascade Phase: a Study in the Effect of the Altithermal on a Cultural System. Doctoral dissertation. Washington State University, Pullman, Washington."
92,-138.6208333,63.9375,3,40386,23414,Dawson locality 25 [Strachan's Claim] [KlVn-VP-25],,,658.9523926,23900,25900,-21950,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,471,,92,"Bentley, C.C., and J.L. Knight. 1998. Turtles (Reptilia: Testudines) of the Ardis local fauna late Pleistocene (Rancholabrean) of South Carolina. Brimleyana 25:3-33."
93,-138.6,63.7,3,40303,23395,Dawson Localities 32-33,,,667.0828857,29000,57000,-27050,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,476,,93,"Bentley, C.C., J.L. Knight, and M.A. Knoll. 1994. The mammals of the Ardis local fauna (late Pleistocene), Harleyville, South Carolina. Brimleyana 21:1-35. "
94,-138.6,63.7,2,,,Dawson Loc. 33 [KkVi-?-33],NA,muck near the surface of underlying gold-bearing gravel at a placer mine,667.0828857,53,54,1897,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,94,"Berger, R., and W.F. Libby. 1966. UCLA radiocarbon dates V. Radiocarbon 8:467-497."
95,-138.55,61.083333,2,,,Williscroft Creek [JgVp-VP],NA,"peat, 2.0 m below the White River Ash, eastern lobe, 2.38 m below the surface, in association with a bison tibia",1297.397217,6207,6347,-4257,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,95,"Berlandier, J.L. 1850. A Journey to Mexico during the Years 1826 to 1834. S.M. Ohlendorf, J.M. Bigelow, and M.M. Standifer, translators. 1980 Volume 2. Texas State Historical Association, Austin, Texas."
96,-138.55,61.083333,2,,,Williscroft Creek [JgVp-VP],NA,stream gravels,1297.397217,2190,2250,-240,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,96,"Billat, S.E. 1985. A Study of Fremont Subsistence at the Smoking Pipe Site. Master's thesis. Brigham Young University, Provo, Utah."
97,-138.53,66.45,3,,,Bison Cave,NA,NA,742.0700684,15690,15820,-13740,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,97,"Binnema, T., and G. Ens. 2016. The Hudson’s Bay Company Edmonton House Journals: reports from the Saskatchewan District including the Bow River Expedition, 1821-1826. Historical Society of Alberta, Calgary, Alberta."
98,-138.53,66.45,3,,,Bison Cave,NA,NA,742.0700684,15552,15692,-13602,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,98,"Black, S. 1955. Black's Rockey Mountain Journal 1824 [A Journal of a voyage from Rocky Mountain Portage in Peace River to the Sources of Finlays Branch and North West Ward in Summer 1824]. Hudson's Bay Records, Winnipeg, Manitoba."
99,-138.148,61.341,2,,,Gladstone Lake,NA,NA,1683.601318,3560,3700,-1610,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,99,"Blakeslee, D.J. 1988. St. Helena archaeology: new data fresh interpretations. Reprints in Anthropology 39."
100,-137.988,60.394,2,,,Frigator Ice Patch,NA,NA,1291.73645,5358,5438,-3408,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,100,"Bobrowsky, P.T., N.R. Catto, and V. Levson. 1991. Reconnaissance Quaternary geological investigations in Peace River district, British Columbia (93P, 94A). British Columbia Geological Survey Paper 1991(1):345-358."
101,-137.498611,61.606111,2,,,Chimi [JjVi-7],Component 3,"lower peat, XU S0-5/W25-30, within lacustrine clay",1174.372559,7221,7441,-5271,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,101,"Bolton, H.E. 1950. Pageant in the wilderness: the story of the Escalante expedition to the interior basin, 1776. Utah Historical Quarterly, Utah Historical Society, Salt Lake City, Utah."
102,-137.498611,61.606111,2,,,Chimi [JjVi-7],Component 2,"depression excavated 2-3"" into basal lacustrine clay, N0-5/W10-15, 12"" depth",1174.372559,2923,3183,-973,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,102,"Bolton, H.E., editor. 1916. Spanish Exploration in the Southwest 1542-1706. Barnes and Noble, New York City, New York."
103,-137.3319444,62.83416667,3,38145,22074,Pelly Farm [KfVd-2],,,726.0304565,2780,3170,-830,NA,NA,,Canada,Yukon,.,0,2,Bison sp,,"1376, 805",,103,"Bonnichsen, R. 1979. Pleistocene bone technology in the Beringian refugium. Mercury Series Archaeology Paper 89, National Museum of Man, Ottawa, Ontario."
104,-137.331944,62.834167,2,,,Pelly Farm [KfVd-2],Floor 4,"square S3/W2, floor 4, 0.7 m depth, in burned sand and charcoal",726.0304565,3228,3368,-1278,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,104,"Bonnichsen, R. 1985. High-altitude adaptation at False Cougar Cave. National Geographic Society Research Report 20:27-40. "
105,-137.331944,62.834167,2,,,Pelly Farm [KfVd-2],Floor 5,"square S20/W65, floor 5, burned sand stratum",726.0304565,2937,3217,-987,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,105,"Bonnichsen, R., R.W. Graham, T. Geppert, G.L. Jacobson, V. Konrad, J.I. Mead, J.S. Oliver, S.G. Oliver, J.R. Purdue, D. Schnurrenberger, R. Stuckenrath, A. Tratebas, and D.E. Young. 1985. False Cougar and Shield Trap: two high altitude caves, Pryor Mountains, Montana. Center for the Study of Early Man, Pryor Mountain Paper 22:1-18. "
106,-137.067,60.86,3,,,Canyon Creek Bridge,NA,NA,850.9759521,12523,12573,-10573,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,106,"Borresen, J.A. 2002. A Faunal Analysis of the Frazier Site, an Agate Basin-Age Bison Kill-Butchery Site in Northeastern Colorado. Master's thesis. University of Tennessee, Knoxville, Tennessee."
107,-137.067,60.86,2,,,Canyon Creek Bridge,NA,NA,850.9759521,2692,2742,-742,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,107,"Boszhardt, R.F., J.L. Theler, and D.G. Wilder. 1993. Megafauna of western Wisconsin. Mississippi Valley Archaeology Center Reports of Investigations 161, University of Wisconsin, Madison, Wisconsin."
108,-137.063889,60.86,2,,,Canyon [JfVg-1],Stratum D,"hearth, N5-10/E45-50, Stratum D, brown sand, 7.5 ft depth",850.9759521,7913,8113,-5963,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,108,"Bozell, J.R. 1991. Fauna from the Hulme site and comments on central Plains tradition subsistence variability. Plains Anthropologist 36(136):229-253."
109,-136.9666667,66.56666667,3,13026,8550,Eagle River,,,453.1860046,13830,14405,-11880,NA,NA,,Canada,Yukon,.,0,1,Bison priscus,,746,,109,"Bozell, J.R., and M.K. Rogers. 1985. Vertebrate remains from the Great Oasis component at the Bill Packer site (25SM9), Sherman County, Nebraska. Manuscript on file, Nebraska State Historical Society. Lincoln, Nebraska."
110,-136.565,63.037,2,,,Takhini River,NA,NA,758.2438965,2489,2539,-539,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,110,"Brand, D.D., F.M. Hawley, and F.C. Hibben. 1937. Tseh So, a small house ruin, Chaco Canyon, New Mexico. Anthropological Series 2(2), University of New Mexico Press, Albuquerque, New Mexico."
111,-136.25,62.08333333,3,33799,19549,Carmacks [KaVa-VP],,,718.9293213,5330,5890,-3380,NA,NA,,Canada,Yukon,.,0,1,Bison bison athabascae,,"395, 1240, 482",,111,"Brandzin-Low, V. 1997. The Distribution and Characteristics of Laurel Ceramics from Northern Manitoba: a Comparative Study. Master's thesis. University of Saskatchewan, Saskatoon, Saskatchewan."
112,-136.017,60.316,2,,,Sandpiper [JbVa-2],NA,NA,1235.58252,3828,3888,-1878,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,112,"Breslawski, R.P. 2014. The Baker Cave Bison Remains: Bison Diminution and Late Holocene Subsistence on the Snake River Plain, Southern Idaho. Utah State University. Master's thesis. Utah State University, Logan, Utah."
113,-136.016667,60.316667,2,,,Sandpiper [JbVa-2],NA,mummified remains in an alpine ice patch,1235.58252,5360,5440,-3410,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,113,"Breslawski, R.P., and D.A. Byers. 2014. Holocene bison diminution on the Snake River Plain, Idaho, USA. The Holocene 24(7):864-875."
114,-136.016667,61.783333,2,,,Whitehorse [JkVa-?],NA,alluvial deposit in gravel quarry,763.0174561,2846,2966,-896,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,114,"Briggs, B., L. Litwinionek, E. Johnson, V.T. Holliday, and J.K. Hicks. 1996. Renewed investigations at Milnesand and Ted Williams Paleoindian sites, Southern High Plains. Current Research in the Pleistocene 13:8-10."
115,-135.866667,60.766667,2,,,Annie Ned Creek [JeUx-16],NA,NA,1160.897949,382,462,1568,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,115,"Bright, J., D.S. Kaufman, S.L. Forman, W.C. McIntosh, J.I. Mead, and A. Baez. Comparative dating of a Bison-bearing late-Pleistocene deposit, Térapa, Sonora, Mexico. Quaternary Geochronology 5(6):631-643."
116,-135.826,61.547,2,,,Braeburn,NA,NA,931.1494141,2507,2587,-557,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,116,"Brodkorb, P. 1959. The Pleistocene avifauna of Arredondo, Florida. Bulletin of the Florida State Museum Biological Sciences 4:269-291. "
117,-135.441667,60.390556,2,,,Friday Creek [JcUu-1],NA,preserved in an alpine ice patch,1474.279297,3710,3830,-1760,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,117,"Brooks, G.R. 1977. The Southwest Expedition of Jedediah S. Smith. Arthur H. Clark Company, Norman, Oklahoma."
118,-135.441667,60.390556,2,,,Friday Creek [JcUu-1],NA,preserved in an alpine ice patch,1474.279297,2896,3016,-946,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,118,"Brooks, R.L. 1987. The Arthur site: settlement and subsistence structure at a Washita River phase village. Oklahoma Archeological Survey Studies in Oklahoma's Past 15:1-166."
119,-135.366667,60.883333,2,,,JfUu-?,NA,slopewash,891.1279297,2094,2174,-144,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,119,"Brooks, R.L., R.R. Drass, and F.E. Swenson. 1985. Prehistoric farmers of the Washita River valley: settlement and subsistence patterns during the Plains Village period. Archaeological Resource Survey Report 23, Oklahoma Archeological Survey, University of Oklahoma, Norman, Oklahoma."
120,-135.259,60.539,2,,,Granger Ice Patch,NA,NA,1425.133545,8216,8396,-6266,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,120,"Brosowske, S.D. 2005. The Evolution of Exchange in Small-Scale Societies of the Southern High Plains. Doctoral dissertation. University of Oklahoma, Norman, Oklahoma."
121,-135.256944,60.541111,2,,,Mount Granger [JdUt-17],NA,mummified remains in an alpine ice patch,1425.133545,8216,8396,-6266,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,121,"Brown, L.A. 1974. The archaeology of the Breeden site. Plains Anthropologist Memoir 10(2):19-66."
122,-135.208,60.615,2,,,Fish Lake,NA,NA,1425.133545,4177,4207,-2227,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,122,"Brown, M.E. 1972. Cultural Behavior as Reflected in the Vertebrate Faunal Assemblages of Three Smoky Hill Sites. Master's thesis. University of Kansas, Lawrence, Kansas."
123,-135.208,60.615,2,,,Fish Lake,NA,NA,1425.133545,1033,1083,917,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,123,"Brown, M.E., and K.L. Brown. 1983. Test excavations at site 13WD405, Woodbury County, Northwestern Iowa. Office of the State Archaeologist, University of Iowa, Iowa City, Iowa."
124,-135.144,60.771,2,,,Porter Creek,NA,NA,729.0521851,5357,5387,-3407,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,124,"Brumley, J.H. 1975. The Cactus Flower Site in Southeastern Alberta: 1872-1974 Excavations. Mercury Series Archaeology Paper 46, National Museum of Man, Ottawa, Ontario."
125,-135.141,60.773,2,,,Versluice Meadows,NA,NA,729.0521851,5357,5387,-3407,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,125,"Brumley, J.H. 1976. A Late Prehistoric bison kill and campsite located in southeastern Alberta. Mercury Series Archaeology Paper 55, National Museum of Man, Ottawa, Ontario."
126,-135.1,60.766667,2,,,JeUs-6,NA,aeolian deposits,729.0521851,6578,6718,-4628,NA,NA,,Canada,Yukon,.,NA,NA,,,"1352, 838",,126,"Brumley, J.H. 1990. Investigation at Herdegen's Birdtail Butte site (24BL1152). Archaeology in Montana 31(1):17-87."
127,-135.094,60.794,2,,,Yukon River,NA,NA,675.8999023,2915,2975,-965,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,127,"Brumley, J.H., and B.J. Dau. 1988. Historical resource investigations within the Forty Mile Coulee Reservoir. Archaeological Survey of Alberta, Manuscript Series 13, Alberta Environment Alberta Culture and Multiculturalism. Edmonton, Alberta."
128,-135.09,60.655,2,,,McIntyre Creek,NA,NA,729.0521851,6614,6694,-4664,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,128,"Brumley, J.H., and C.A. Rushworth. 1983. A summary and appraisal of Alberta radiocarbon dates. Pages 142-160 in D. Burley, editor. Archaeology in Alberta 1982. Archaeological Survey of Alberta Occasional Paper 21, Alberta Culture and Multiculturalism Historical Resources Division, Edmonton, Alberta."
129,-135.083,60.938,2,,,Policeman's Point,NA,NA,675.8999023,3211,3271,-1261,NA,NA,,Canada,Yukon,.,NA,NA,,,1352,,129,"Brumley, J.H., B.J. Dau, and L. Heikkila. 1981. Salvage investigations on the Suffield Military Reserve 1976-1980. Canadian Museum of Civilization, Hull, Ontario."
